date,extraction #,sp,sample_code,tissue,vial wt (g) ,sample wt (mg),end wt (g),net wt (marc) (mg),extract wt (mg),
1/4/2018,67,sancti-felicis,#1b 11/6/09,ripe,0.45015,50.91,0.48005,29.9,21.01,
1/4/2018,68,sancti-felicis,#1c 11/6/09,ripe,0.41853,49.98,0.44637,27.84,22.14,
1/4/2018,69,sancti-felicis,#3 5/17/12,ripe,0.32601,50.63,0.36085,34.84,15.79,
4/27/2018,149,sancti-felicis,#1b 11/6/09,ripe seed,1.5065,49.72,1.5442,37.7,12.02,
4/27/2018,150,sancti-felicis,#1c 11/6/09,ripe seed,1.5063,48.53,1.546,39.7,8.83,
4/27/2018,151,sancti-felicis,#3 5/17/12,ripe seed,1.5196,49.96,1.556,36.4,13.56,
1/4/2018,64,sancti-felicis,#1b 11/6/09,unripe,0.41279,50.18,0.42121,8.42,41.76,
1/4/2018,65,sancti-felicis,#1c 11/6/09,unripe,0.37048,51.12,0.37991,9.43,41.69,
1/4/2018,66,sancti-felicis,#3 5/17/12,unripe,0.41296,51.29,0.42595,12.99,38.3,
1/8/2018,101,silvivagum,19/7/11,leaf,0.37104,49.5,0.38483,13.79,35.71,
1/8/2018,102,silvivagum,#1 8/7/09,leaf,0.38688,51.31,0.39732,10.44,40.87,
1/8/2018,103,silvivagum,14/5/10,leaf,0.26117,51.02,0.27334,12.17,38.85,
1/4/2018,77,silvivagum,19/7/11,ripe,0.42608,46.33,0.45275,26.67,19.66,
1/4/2018,78,silvivagum,#1 8/7/09,ripe,0.46462,49.32,0.49287,28.25,21.07,
1/4/2018,79,silvivagum,14/5/10,ripe,0.43149,51.11,0.46646,34.97,16.14,
4/27/2018,152,silvivagum,19/7/11,ripe seed,1.515,51.04,1.5545,39.5,11.54,
4/27/2018,153,silvivagum,#1 8/7/09,ripe seed,1.5302,50.39,1.5706,40.4,9.99,
4/27/2018,154,silvivagum,14/5/10,ripe seed,1.5113,50.45,1.5501,38.8,11.65,
1/4/2018,74,silvivagum,19/7/11,unripe,0.43396,49.19,0.45352,19.56,29.63,
1/4/2018,75,silvivagum,#1 8/7/09,unripe,0.37152,50.14,0.388,16.48,33.66,
1/4/2018,76,silvivagum,14/5/10,unripe,0.37668,50.43,0.39969,23.01,27.42,
1/8/2018,104,umbricola,#4 5/17/12,leaf,0.40731,50.45,0.42525,17.94,32.51,
1/9/2018,105,umbricola,#7 26/11/09,leaf,0.42313,50.35,0.44013,17,33.35,
1/9/2018,106,umbricola,#9 22/8/09,leaf,0.44993,51.24,0.46952,19.59,31.65,
1/4/2018,83,umbricola,#4 5/17/12,ripe,0.36053,50.49,0.39906,38.53,11.96,
1/4/2018,84,umbricola,#7 26/11/09,ripe,0.24269,50.76,0.27199,29.3,21.46,
1/4/2018,85,umbricola,#9 22/8/09,ripe,0.29914,50.37,,-299.14,349.51,
4/27/2018,155,umbricola,#4 5/17/12,ripe seed,1.5166,49.92,1.5553,38.7,11.22,
4/27/2018,156,umbricola,#7 26/11/09,ripe seed,1.5158,49.95,1.5573,41.5,8.45,
4/27/2018,157,umbricola,#9 22/8/09,ripe seed,1.5255,50.45,1.566,40.5,9.95,
1/4/2018,80,umbricola,#4 5/17/12,unripe,0.36931,49.09,0.38821,18.9,30.19,
1/4/2018,81,umbricola,#7 26/11/09,unripe,0.39516,48.83,0.4117,16.54,32.29,
1/4/2018,82,umbricola,#9 22/8/09,unripe,0.38155,50.86,0.407,25.45,25.41,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
