"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"221","4303","10176",-193.056,0,0.758137,0.524241,1
"222","6548","10802",-167.129,0,0.741094,0.476757,1
"223","8359","9057",-28.956,0,0.743145,0.536872,1
"224","9380","12382",-343.1,0,0.666906,0.503305,1
"225","4310","5333",-30.019,0,0.753302,0.516034,1
"226","2342","10804",-306.128,0,0.81732,0.626801,1
"227","4537","8492",-100.015,0,0.752134,0.568448,1
"228","8849","10804",-106.051,0,0.711826,0.467214,1
"229","5469","11540",-290.143,0,0.63424,0.430092,1
"230","6968","11142",-197.099,0,0.731049,0.521761,1
"231","3942","5716",-51.225,0,0.663062,0.427414,1
"232","1863","11402",-389.103,0,0.880039,0.695113,1
"233","2356","12412",-579.135,0,0.890828,0.685522,1
"234","8807","10804",-107.023,0,0.822949,0.550488,1
"235","6968","11534",-256.027,0,0.678482,0.503978,1
"236","2342","3229",-39.996,0,0.621202,0.40034,1
"237","4310","11534",-325.112,0,0.775501,0.580671,1
"238","2300","7675",-469.275,0,0.648432,0.521347,1
"239","5247","7315",-50.757,0,0.776223,0.532462,1
"240","2342","8849",-200.077,0,0.68782,0.468334,1
"241","3656","9343",-161.076,0,0.624961,0.457148,1
"242","5322","5716",-15.962,0,0.638295,0.486989,1
"243","9352","11534",-182.036,0,0.61061,0.458218,1
"244","526","12382",-609.251,0,0.623878,0.459092,1
"245","11255","12314",-180.093,0,0.695805,0.456056,1
"246","8807","8849",-0.972015,0,0.835524,0.673133,1
"247","6548","12599",-586.192,0,0.66119,0.418849,1
"248","7315","9753",-83.938,0,0.633874,0.503999,1
"249","3688","6968",-86.043,0,0.797681,0.564567,1
"250","9445","9763",-14.967,0,0.766319,0.542757,1
"251","1194","9352",-244.017,0,0.686938,0.526411,1
"252","3229","10521",-244.046,0,0.853324,0.646556,1
"253","3431","12094",-422.037,0,0.676401,0.440617,1
"254","5322","11494",-295.021,0,0.746048,0.546894,1
"255","3688","8786",-139.092,0,0.83349,0.616251,1
"256","368","11686",-460.316,0,0.656642,0.406195,1
"257","6823","8399",-38.007,0,0.686982,0.488003,1
"258","8849","11494",-200.022,0,0.772987,0.593959,1
"259","2356","5730",-120.956,0,0.704637,0.443484,1
"260","368","10176",-314.109,0,0.744359,0.53751,1
"261","2356","9352",-218.037,0,0.72729,0.524109,1
"262","2000","8399",-186.052,0,0.741175,0.490334,1
"263","6823","6968",-1.01001,0,0.803101,0.581858,1
"264","3796","9343",-156.036,0,0.618101,0.4406,1
"265","6548","11494",-262.062,0,0.803032,0.585388,1
"266","3110","6252",-95.041,0,0.73526,0.560187,1
"267","9784","12314",-301.186,0,0.660774,0.512776,1
