CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex
817,2931,-57.101,0,0.620414,0.440111,4
817,2942,-58.111,0,0.742096,0.494844,4
817,3160,-70.977,0,0.781592,0.533013,4
817,4632,-117.156,0,0.788237,0.526688,4
817,5031,-129.899,0,0.722149,0.403379,4
817,5234,-134.878,0,0.737613,0.42694,4
817,5419,-140.988,0,0.762341,0.469208,4
817,8469,-215.093,0,0.692519,0.482881,4
817,9608,-647.416,0,0.785507,0.483949,4
817,12239,-551.469,0,0.686004,0.449601,4
817,12247,-552.472,0,0.689491,0.451864,4
817,12249,-552.473,0,0.845716,0.593973,4
817,12257,-553.474,0,0.641937,0.452152,4
817,12258,-553.473,0,0.682525,0.404158,4
817,12391,-596.527,0,0.848265,0.597189,4
853,853,0,1,1,1,-1
856,1334,-10.026,0,0.697575,0.44413,1
856,2000,-26.16,0,0.673824,0.400021,1
856,5333,-136.149,0,0.607381,0.411608,1
856,5469,-142.092,0,0.638241,0.424746,1
856,5756,-153.249,0,0.642248,0.405842,1
856,10863,-342.217,0,0.70669,0.42727,1
856,12378,-592.294,0,0.667656,0.40737,1
868,6840,-173.134,0,0.731267,0.427134,6
879,1348,-9.091,0,0.835781,0.590014,4
879,1454,-10.996,0,0.831964,0.511937,4
879,1564,-14.987,0,0.888604,0.641944,4
879,2002,-26.024,0,0.849055,0.51748,4
879,2139,-27.995,0,0.887516,0.625731,4
879,2594,-44.064,0,0.744455,0.404746,4
879,2931,-55.122,0,0.683357,0.48504,4
879,2942,-56.132,0,0.741123,0.46974,4
879,3160,-68.998,0,0.80764,0.50158,4
879,4632,-115.177,0,0.822016,0.576172,4
879,5031,-127.92,0,0.738019,0.418003,4
879,5419,-139.009,0,0.770107,0.417946,4
879,8469,-213.114,0,0.719353,0.563756,4
879,9608,-645.437,0,0.803606,0.456802,4
879,12239,-549.49,0,0.711912,0.503251,4
879,12247,-550.493,0,0.710401,0.489874,4
879,12249,-550.494,0,0.869467,0.575943,4
879,12257,-551.495,0,0.670578,0.494339,4
879,12391,-594.548,0,0.870955,0.621066,4
880,2239,-27.998,0,0.908786,0.771403,6
880,3510,-79.973,0,0.936393,0.843995,6
880,6582,-168.647,0,0.82284,0.76034,6
880,7308,-183.665,0,0.631804,0.601214,6
880,8493,-213.117,0,0.736851,0.519802,6
880,9755,-267.606,0,0.90334,0.735138,6
880,11658,-442.342,0,0.885869,0.741287,6
880,11730,-444.349,0,0.885515,0.73898,6
880,12069,-496.265,0,0.870858,0.723743,6
942,942,0,1,1,1,-1
964,964,0,1,1,1,-1
1064,2092,-27.1,0,0.684661,0.428702,6
1064,2250,-27.997,0,0.902696,0.687133,6
1064,2441,-37.085,0,0.868293,0.513205,6
1064,2468,-38.092,0,0.654427,0.466994,6
1064,3475,-79.972,0,0.695148,0.54736,6
1064,7307,-183.663,0,0.669887,0.405297,6
1064,7645,-191.649,0,0.889921,0.622197,6
1064,11649,-442.339,0,0.907328,0.6303,6
1064,11691,-443.342,0,0.933285,0.70119,6
1064,12068,-496.263,0,0.677279,0.421614,6
1068,1759,-15.058,0,0.695674,0.526553,6
1068,2297,-27.997,0,0.922671,0.821606,6
1068,9754,-267.604,0,0.659975,0.432317,6
1068,11695,-443.343,0,0.81311,0.678902,6
1068,11717,-444.345,0,0.790037,0.595762,6
1068,12065,-496.263,0,0.6759,0.440092,6
1071,1784,-17.079,0,0.659521,0.41954,6
1071,2157,-27.994,0,0.868615,0.616607,6
1071,7309,-183.663,0,0.800318,0.468872,6
1071,7643,-191.649,0,0.751784,0.487802,6
1071,7677,-192.151,0,0.69202,0.514362,6
1071,9754,-267.604,0,0.799897,0.450585,6
1071,11695,-443.343,0,0.778845,0.536715,6
1071,11717,-444.345,0,0.794238,0.550205,6
1075,3475,-79.971,0,0.625024,0.497985,6
1075,3476,-79.971,0,0.696516,0.543854,6
1075,6577,-168.645,0,0.718968,0.450879,6
1075,7678,-192.151,0,0.600817,0.425022,6
1075,11650,-442.34,0,0.758428,0.518356,6
1076,2307,-27.997,0,0.936541,0.816749,6
1076,3486,-79.971,0,0.952331,0.833012,6
1076,6575,-168.645,0,0.920894,0.729335,6
1076,7307,-183.662,0,0.649447,0.53029,6
1076,7646,-191.649,0,0.892554,0.765749,6
1076,9756,-267.603,0,0.669406,0.412706,6
1076,11647,-442.34,0,0.965028,0.878215,6
1076,11694,-443.343,0,0.96391,0.880976,6
1086,1863,-24.086,0,0.710484,0.543853,1
1086,2300,-27.997,0,0.81599,0.731177,1
1086,2356,-30.097,0,0.603268,0.448448,1
1086,2780,-48.107,0,0.602101,0.480057,1
1086,3110,-66.117,0,0.675629,0.53788,1
1086,3494,-79.971,0,0.9029,0.843813,1
1086,3656,-86.061,0,0.619326,0.476291,1
1086,3697,-89.122,0,0.603388,0.462066,1
1086,3796,-91.101,0,0.635425,0.540244,1
1086,4310,-105.058,0,0.604424,0.450905,1
1086,5247,-132.907,0,0.814201,0.610943,1
1086,5322,-134.144,0,0.630869,0.496445,1
1086,5918,-156.993,0,0.609982,0.420034,1
1086,6371,-163.119,0,0.615097,0.466638,1
1086,6548,-167.103,0,0.640571,0.498799,1
1086,6573,-168.645,0,0.904583,0.803095,1
1086,7315,-183.664,0,0.797353,0.694784,1
1086,7649,-496.262,0,0.775898,0.700693,1
1086,7704,-498.268,0,0.771908,0.685921,1
1086,8218,-205.183,0,0.60597,0.462728,1
1086,8399,-211.14,0,0.637299,0.467297,1
1086,8628,-218.611,0,0.813123,0.627904,1
1086,8633,-551.19,0,0.825462,0.645152,1
1086,8807,-228.171,0,0.610502,0.492882,1
1086,8849,-229.143,0,0.647275,0.501841,1
1086,9409,-251.136,0,0.642575,0.514396,1
1086,11367,-408.237,0,0.625728,0.470142,1
1086,11402,-413.189,0,0.636811,0.481021,1
1086,11660,-442.341,0,0.871674,0.721611,1
1086,11686,-443.337,0,0.797439,0.630339,1
1086,11722,-444.346,0,0.886427,0.73697,1
1086,12067,-496.263,0,0.9667,0.937557,1
1088,2250,-27.996,0,0.632658,0.4886,6
1090,3507,-79.971,0,0.968762,0.937202,56
1090,7682,-192.151,0,0.745201,0.693042,56
1090,11663,-442.341,0,0.870962,0.772166,56
1090,11709,-443.344,0,0.870825,0.771964,56
1108,1404,-9.014,0,0.694089,0.52816,6
1128,1826,-20.988,0,0.919424,0.929385,57
1128,3042,-62.999,0,0.757533,0.575084,57
1128,3061,-64.003,0,0.934747,0.90949,57
1128,7065,-176.047,0,0.952827,0.949618,57
1141,1487,-9.969,0,0.994875,0.928655,6
1141,1532,-12,0,0.991712,0.876489,6
1141,1534,-13.007,0,0.991211,0.883963,6
1141,1782,-15.995,0,0.990023,0.883962,6
1141,1998,-23.999,0,0.987604,0.864513,6
1141,2056,-25.007,0,0.993313,0.887888,6
1141,2093,-26.016,0,0.990015,0.823216,6
1141,2336,-27.019,0,0.961299,0.760091,6
1141,2440,-35.999,0,0.973219,0.820813,6
1141,2469,-37.007,0,0.973526,0.831982,6
1141,2482,-38.014,0,0.972989,0.847831,6
1141,2491,-39.995,0,0.96306,0.806246,6
1141,2895,-51.979,0,0.604759,0.403339,6
1141,2906,-51.979,0,0.962386,0.759997,6
1141,2922,-53.003,0,0.972746,0.812277,6
1141,2930,-54.01,0,0.967623,0.798792,6
1141,3081,-63.995,0,0.959853,0.755682,6
